Server,Drive,LowTh,WarnTh,CritTh
FRA0VWCSCTS01,C:,50,35,20
FRA0VWEXT01,C:,50,35,20
FRA0VWEXT02,C:,50,35,20
FRA0VWFINDB01,C:,50,35,20
FRA0VWGWS01,C:,50,35,20
FRA0VWGWS02,C:,50,35,20
FRA0VWINT01,C:,50,35,20
FRA0VWINT02,C:,50,35,20
FRA0VWJENKINS01,C:,50,35,20
FRA0VWLOGS01,C:,50,35,20
FRA0VWLOGS01,E:,50,35,20
FRA0VWMISC01,C:,50,35,20
FRA0VWMON01,C:,50,35,20
FRA0VWOCTOPUS01,C:,50,35,20
FRA0VWWEB01,C:,50,35,20
FRA0VWWEB02,C:,50,35,20
FRA0VWWEB03,C:,50,35,20
FRA0VWWFE01,C:,50,35,20
FRA0VWWFE02,C:,50,35,20
FRA0VWWFE03,C:,50,35,20
FRA2VWAPP01,C:,50,35,20
FRA2VWAPP02,C:,50,35,20
FRA2VWDB01,C:,50,35,20
FRA2VWGWS02,C:,50,35,20
FRA3VWAPP01,C:,50,35,20
FRA3VWDB01,C:,50,35,20
